Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2024-01-17 02-57-22,2024-01-17 07-57-22,0,1.3,0.3,234.18,142.048,0,0,0,0,0,0,0,0,0,0,
2024-01-17 02-58-22,2024-01-17 07-58-22,0,1.2,0.3,234.605,141.89,0,0,0,0,0,0,0,0,0,0,
2024-01-17 02-59-23,2024-01-17 07-59-23,0,0.9,0.8,235.469,142.001,0,0,0,0,0,0,0,0,0,0,
2024-01-17 03-00-23,2024-01-17 08-00-23,0,3.2,1.4,236.484,142.108,0,0,0,0,0,0,0,0,0,0,
2024-01-17 03-01-23,2024-01-17 08-01-23,0,2.7,0.2,237.453,142.217,0,0,0,0,0,0,0,0,0,0,
2024-01-17 03-02-23,2024-01-17 08-02-23,0,0.9,0.4,238.344,142.328,0,0,0,0,0,0,0,0,0,0,
2024-01-17 03-03-24,2024-01-17 08-03-24,0,0.9,0.7,239.285,142.439,0,0,0,0,0,0,0,0,0,0,
2024-01-17 03-04-24,2024-01-17 08-04-24,0,1.1,0.8,240.047,142.55,0,0,0,0,0,0,0,0,0,0,
2024-01-17 03-05-24,2024-01-17 08-05-24,0,1.5,0.8,241.012,142.66,0,0,0,0,0,0,0,0,0,0,
2024-01-17 03-06-25,2024-01-17 08-06-25,0,1.7,4.6,251.477,142.771,0,0,0,0,0,0,0,0,0,0,
2024-01-17 03-07-25,2024-01-17 08-07-25,0,1.8,0.7,251.828,142.881,0,0,0,0,0,0,0,0,0,0,
2024-01-17 03-08-26,2024-01-17 08-08-26,0,1.6,0.5,251.828,142.992,0,0,0,0,0,0,0,0,0,0,
2024-01-17 03-09-26,2024-01-17 08-09-26,0,1.2,0.8,251.812,143.103,0,0,0,0,0,0,0,0,0,0,
2024-01-17 03-10-26,2024-01-17 08-10-26,0,1,0.3,251.805,143.214,0,0,0,0,0,0,0,0,0,0,
2024-01-17 03-11-27,2024-01-17 08-11-27,0,1.2,0.8,251.805,143.324,0,0,0,0,0,0,0,0,0,0,
2024-01-17 03-12-27,2024-01-17 08-12-27,0,1.1,0.8,251.801,143.435,0,0,0,0,0,0,0,0,0,0,
